"ID","语言","源文本","已翻译文本"
"enlpjntno0","zh-TW","Amount","金額"
"e9p2bbf9te","zh","Amount","金额"
"e3qucgmuht","zh-TW","金额","金額"
"a9db57ggcn","zh","Sr","序号"
"9mgt6bav2j","zh-TW","Customer","客戶"
"9fcokost5b","zh","Customer","客户"
"g0eqk764lt","zh-TW","联系人","聯絡人"
"fs50t65ln0","en","联系人","Contact Person"
"fiaa3efb9q","en","大写金额","Amount in Words"
"fd8eulj8t5","zh-TW","大写金额","大寫金額"
"f50clsrhja","zh-TW","圆整后金额","圓整後金額"
"f1hjblu2ar","en","圆整后金额","Rounded Amount"
"er54dbk4dj","en","总计","Total"
"ee79guf7pi","zh-TW","总计","總計"
"e3e2q5fcgh","en","付款到账日","Payment Due Date"
"ddebnv3vb1","en","日期","Date"
"d49hf99v5l","en","客户","Customer"
"d0mu3sb6ig","zh-TW","客户","客戶"
"cbs4sd3knn","zh-TW","联络人电邮","聯絡人電郵"
"c5r9nmo58u","en","联络人电邮","Contact Email"
"c11trle6ub","zh-TW","销售费用清单","銷售發票"
"b76o042klj","en","销售费用清单","Sales Invoice"
"7b2ts0i1sb","zh-TW","账单联系人","帳單聯絡人名稱"
"751ht42mjs","zh-TW","账单联系人邮箱","帳單聯絡人電郵"
"6p6319soc7","en","账单联系人邮箱","Billing Contact Name"
"42lr699mb4","en","账单联系人","Bill Contact Person"
